_class,_id,brand,category,ingredient,origin,pid,price,quantity
com.kitchenstory.entities.Product,Amul Ghee,Amul Cooperative Society,Staples,Vegetarian,India,ST11201,550,1 Ltr
com.kitchenstory.entities.Product,Amul Cheese,Amul Cooperative Society,Dairy & Bakery,Vegetarian,India,DI11401,350,350g
com.kitchenstory.entities.Product,Ashirwad Ghee,ITC Ltd.,Staples,Vegetarian,India,ST11202,560,1 Ltr
com.kitchenstory.entities.Product,Everyday Ghee,Nestle India Ltd.,Staples,Vegetarian,India,ST11203,450,1 Ltr
com.kitchenstory.entities.Product,Goverdhan Ghee,Goverdhan Ghee Ltd.,Staples,Vegetarian,India,ST11204,600,1 Ltr
com.kitchenstory.entities.Product,Mother Dairy Ghee,Mother Dairy Ltd.,Staples,Vegetarian,India,ST11205,545,1 Ltr
com.kitchenstory.entities.Product,Patanjali Cow Ghee,Patanjali Ltd.,Staples,Vegetarian,India,ST11204,565,1 Ltr
com.kitchenstory.entities.Product,Tender Coconut (1 pc),Reliance fresh,Fruits & Vegetables,Vegetarian,India,FV11211,45,900g
com.kitchenstory.entities.Product,Apple Indian,Reliance fresh,Fruits & Vegetables,Vegetarian,India,FV11212,139,6 Pc
com.kitchenstory.entities.Product,Apple Royal Gala,Reliance fresh,Fruits & Vegetables,Vegetarian,New Zealand,FV11214,159,4 Pc
com.kitchenstory.entities.Product,Apple Red Delicious,Reliance fresh,Fruits & Vegetables,Vegetarian,USA,FV11215,189,4 Pc
com.kitchenstory.entities.Product,Banana Robusta,Reliance fresh,Fruits & Vegetables,Vegetarian,India,FV11216,45,6 Pc
com.kitchenstory.entities.Product,Banana Yellaki,Reliance fresh,Fruits & Vegetables,Vegetarian,India,FV11217,95,12 Pc
com.kitchenstory.entities.Product,Banana Nendran,Reliance fresh,Fruits & Vegetables,Vegetarian,India,FV11218,120,4 Pc
com.kitchenstory.entities.Product,Banana Red,Reliance fresh,Fruits & Vegetables,Vegetarian,India,FV11219,129,4 Pc
com.kitchenstory.entities.Product,Onion,Reliance fresh,Fruits & Vegetables,Vegetarian,India,FV11221,29,1 Kg
com.kitchenstory.entities.Product,Potato per kg,Reliance fresh,Fruits & Vegetables,Vegetarian,India,FV11222,32,1 Kg
com.kitchenstory.entities.Product,Onion Pack,Reliance fresh,Fruits & Vegetables,Vegetarian,India,FV11223,140,5 Kg
com.kitchenstory.entities.Product,Potato Low Sugar,Reliance fresh,Fruits & Vegetables,Vegetarian,India,FV11224,88,2 Kg
com.kitchenstory.entities.Product,Sweet Potato,Reliance fresh,Fruits & Vegetables,Vegetarian,India,FV11225,29,500g
com.kitchenstory.entities.Product,Toned Milk,Mother Dairy Ltd.,Dairy & Bakery,Vegetarian,India,FV11226,26,500 ml
com.kitchenstory.entities.Product,Full Cream Milk,Mother Dairy Ltd.,Dairy & Bakery,Vegetarian,India,FV11227,32,500 ml
com.kitchenstory.entities.Product,Taaza Toned Milk,Amul Cooperative Society,Dairy & Bakery,Vegetarian,India,FV11228,26,500 ml
com.kitchenstory.entities.Product,Taaza Full Cream Milk,Amul Cooperative Society,Dairy & Bakery,Vegetarian,India,FV11229,32,500 ml
com.kitchenstory.entities.Product,Moti Toned Milk,Amul Cooperative Society,Dairy & Bakery,Vegetarian,India,FV11230,30,500 ml
com.kitchenstory.entities.Product,Rice Bran Oil,Sarvottam Ltd.,Staples,Vegetarian,India,ST11210,140,1 Ltr
com.kitchenstory.entities.Product,Fortune Sunlite Oil,Fortune,Staples,Vegetarian,India,ST11211,160,1 Ltr
com.kitchenstory.entities.Product,Fortune Soybean Oil,Fortune,Staples,Vegetarian,India,ST11212,155,1 Ltr
com.kitchenstory.entities.Product,Dhara Sunflower Oil,Mother Dairy Ltd.,Staples,Vegetarian,India,ST11214,155,1 Ltr
com.kitchenstory.entities.Product,Dhara Soybean Oil,Mother Dairy Ltd.,Staples,Vegetarian,India,ST11215,140,1 Ltr
com.kitchenstory.entities.Product,Tata Sampann Toor Dal,TATA,Staples,Vegetarian,India,ST11216,140,1 Kg
com.kitchenstory.entities.Product,Tata Sampann Chana Dal,TATA,Staples,Vegetarian,India,ST11221,130,1 Kg
com.kitchenstory.entities.Product,Tata Sampann Dal Besan,TATA,Staples,Vegetarian,India,ST11218,95,1 Kg
com.kitchenstory.entities.Product,Tata Sampann Moong Dal,TATA,Staples,Vegetarian,India,ST11219,134,1 Kg
com.kitchenstory.entities.Product,Tata Sampann Urad Dal,TATA,Staples,Vegetarian,India,ST11220,143,1 Kg
com.kitchenstory.entities.Product,Aashirvaad Select Sharbati Atta,ITC Ltd.,Staples,Vegetarian,India,ST11221,285,5 Kg
com.kitchenstory.entities.Product,Aashirvaad Multigrain Atta,ITC Ltd.,Staples,Vegetarian,India,ST11222,300,5 Kg
com.kitchenstory.entities.Product,Fortune Atta,Fortune,Staples,Vegetarian,India,ST11223,275,5 Kg
com.kitchenstory.entities.Product,Fortune Multigrain Atta,Fortune,Staples,Vegetarian,India,ST11224,290,5 Kg
com.kitchenstory.entities.Product,Patanjali Multigrain Atta,Patanjali Ltd.,Staples,Vegetarian,India,ST11226,350,5 Kg
com.kitchenstory.entities.Product,Patanjali Atta,Patanjali Ltd.,Staples,Vegetarian,India,ST11227,300,5 Kg
